Protein.uniprotID	Protein.proID
Q2V462	PR_Q2V462
P56804	PR_P56804
P98083	PR_P98083
Q54BF0	PR_Q54BF0
P69265	PR_P69265
Q5QNV8	PR_Q5QNV8
Q6V5K9	PR_Q6V5K9
P31470	PR_P31470
Q9VDE6	PR_Q9VDE6
Q8NBV4	PR_Q8NBV4
P0CE94	PR_P0CE94
Q9NXC2	PR_Q9NXC2
P60473	PR_P60473
A0A0J9YY54	PR_A0A0J9YY54
P34361	PR_P34361
Q9FHB0	PR_Q9FHB0
Q8BHF7	PR_Q8BHF7
P19001	PR_P19001
Q9QZ41	PR_Q9QZ41
P31397	PR_P31397
P25566	PR_P25566
P91408	PR_P91408
P48740	PR_P48740
Q47163	PR_Q47163
P61361	PR_P61361
P75433	PR_P75433
Q9P6Q1	PR_Q9P6Q1
O59702	PR_O59702
Q96MU6	PR_Q96MU6
Q9U3R0	PR_Q9U3R0
Q8CIN4	PR_Q8CIN4
O64399	PR_O64399
Q5ZMB7	PR_Q5ZMB7
Q6DPU1	PR_Q6DPU1
Q6NQ81	PR_Q6NQ81
P99999	PR_P99999
P34557	PR_P34557
Q9SFF4	PR_Q9SFF4
Q7M721	PR_Q7M721
P07293	PR_P07293
F4K5L5	PR_F4K5L5
Q9LG02	PR_Q9LG02
P56565	PR_P56565
Q9SS90	PR_Q9SS90
Q54QD5	PR_Q54QD5
Q94CK4	PR_Q94CK4
Q12341	PR_Q12341
F4JEX5	PR_F4JEX5
Q06393	PR_Q06393
P85971	PR_P85971
P34098	PR_P34098
Q92346	PR_Q92346
P82909	PR_P82909
Q5ADQ9	PR_Q5ADQ9
K7EIQ3	PR_K7EIQ3
Q5FVR4	PR_Q5FVR4
Q8C7W7	PR_Q8C7W7
Q9JLT6	PR_Q9JLT6
Q08828	PR_Q08828
Q9LQ81	PR_Q9LQ81
P36170	PR_P36170
P27654	PR_P27654
P92514	PR_P92514
P63116	PR_P63116
Q47151	PR_Q47151
P0C2F9	PR_P0C2F9
P78324	PR_P78324
H1UBN0	PR_H1UBN0
Q54TD8	PR_Q54TD8
Q54SV6	PR_Q54SV6
Q54W83	PR_Q54W83
A2AJN7	PR_A2AJN7
Q6P6E8	PR_Q6P6E8
Q63203	PR_Q63203
Q9CXV3	PR_Q9CXV3
Q54WZ8	PR_Q54WZ8
Q9H707	PR_Q9H707
O65476	PR_O65476
Q7YWN4	PR_Q7YWN4
Q9YH18	PR_Q9YH18
P27574	PR_P27574
D3ZJE5	PR_D3ZJE5
Q5U2R7	PR_Q5U2R7
Q8BH26	PR_Q8BH26
P87206	PR_P87206
Q62010	PR_Q62010
Q9DB52	PR_Q9DB52
Q15020	PR_Q15020
Q9S836	PR_Q9S836
O74388	PR_O74388
Q9CX99	PR_Q9CX99
Q9XID4	PR_Q9XID4
Q6QI25	PR_Q6QI25
Q5ZJI6	PR_Q5ZJI6
Q96M32	PR_Q96M32
P34616	PR_P34616
Q9P7J0	PR_Q9P7J0
Q8WYA0	PR_Q8WYA0
P12841	PR_P12841
A2A9A2	PR_A2A9A2
Q5A210	PR_Q5A210
Q11109	PR_Q11109
P02762	PR_P02762
Q9Z1T1	PR_Q9Z1T1
P45759	PR_P45759
Q5F1R6	PR_Q5F1R6
Q7SXB5	PR_Q7SXB5
O75177	PR_O75177
Q81J26	PR_Q81J26
Q8C4B4	PR_Q8C4B4
Q9LVL4	PR_Q9LVL4
A4F267	PR_A4F267
Q9VS36	PR_Q9VS36
Q9XYS3	PR_Q9XYS3
Q86IJ0	PR_Q86IJ0
Q7VW32	PR_Q7VW32
Q9SR43	PR_Q9SR43
Q8CWV8	PR_Q8CWV8
Q14AW5	PR_Q14AW5
A2ARP9	PR_A2ARP9
Q5F3S2	PR_Q5F3S2
Q9JL70	PR_Q9JL70
P46983	PR_P46983
Q5BPZ5	PR_Q5BPZ5
Q8TAK6	PR_Q8TAK6
Q8BXT1	PR_Q8BXT1
Q9VMA3	PR_Q9VMA3
Q91YI4	PR_Q91YI4
Q9UTF7	PR_Q9UTF7
Q9VLF6	PR_Q9VLF6
Q96NC0	PR_Q96NC0
Q91XA9	PR_Q91XA9
P02931	PR_P02931
Q9CWV0	PR_Q9CWV0
Q8BXN7	PR_Q8BXN7
Q7T322	PR_Q7T322
P0CF80	PR_P0CF80
P84634	PR_P84634
Q9DBE0	PR_Q9DBE0
Q03151	PR_Q03151
P43298	PR_P43298
Q09727	PR_Q09727
P0DH97	PR_P0DH97
P18491	PR_P18491
Q9QXT6	PR_Q9QXT6
Q91Z38	PR_Q91Z38
O82660	PR_O82660
Q46927	PR_Q46927
P38052	PR_P38052
P39009	PR_P39009
Q8GYX9	PR_Q8GYX9
Q9P255	PR_Q9P255
Q9T0F2	PR_Q9T0F2
Q9FKV8	PR_Q9FKV8
P43329	PR_P43329
Q9NX24	PR_Q9NX24
Q9BYV9	PR_Q9BYV9
Q9ESQ7	PR_Q9ESQ7
F4HUC4	PR_F4HUC4
Q6KC51	PR_Q6KC51
Q9ZWA6	PR_Q9ZWA6
Q9DDU1	PR_Q9DDU1
Q09792	PR_Q09792
A0KF24	PR_A0KF24
Q9HVY3	PR_Q9HVY3
Q63374	PR_Q63374
Q54I63	PR_Q54I63
A1L4Y1	PR_A1L4Y1
Q6NUQ1	PR_Q6NUQ1
Q551S2	PR_Q551S2
Q571C7	PR_Q571C7
O15062	PR_O15062
Q6PC93	PR_Q6PC93
Q6U7R4	PR_Q6U7R4
Q8NHW3	PR_Q8NHW3
Q90487	PR_Q90487
P00635	PR_P00635
P0ACR0	PR_P0ACR0
P54920	PR_P54920
Q6ZU67	PR_Q6ZU67
Q58EL7	PR_Q58EL7
Q6IQP3	PR_Q6IQP3
P97386	PR_P97386
Q80UU9	PR_Q80UU9
Q6PD21	PR_Q6PD21
Q96RT1	PR_Q96RT1
O82201	PR_O82201
Q5RID7	PR_Q5RID7
Q0VBL3	PR_Q0VBL3
Q0P483	PR_Q0P483
Q9ULJ1	PR_Q9ULJ1
Q8BGF6	PR_Q8BGF6
P41052	PR_P41052
P0AEH1	PR_P0AEH1
Q94CL6	PR_Q94CL6
O35777	PR_O35777
P23797	PR_P23797
Q5XF59	PR_Q5XF59
Q10140	PR_Q10140
Q9BYQ4	PR_Q9BYQ4
Q60996	PR_Q60996
Q961K6	PR_Q961K6
P0C138	PR_P0C138
P53256	PR_P53256
Q8IPX7	PR_Q8IPX7
Q9V3U0	PR_Q9V3U0
P18437	PR_P18437
Q9VYY9	PR_Q9VYY9
Q7Z7A4	PR_Q7Z7A4
Q23221	PR_Q23221
Q86UD4	PR_Q86UD4
C1P620	PR_C1P620
Q5RGR7	PR_Q5RGR7
P22434	PR_P22434
Q6ZVK1	PR_Q6ZVK1
Q03426	PR_Q03426
P15771	PR_P15771
P42574	PR_P42574
Q570B4	PR_Q570B4
O13606	PR_O13606
Q9QYK7	PR_Q9QYK7
P83868	PR_P83868
P82701	PR_P82701
Q9NZZ3	PR_Q9NZZ3
Q8R420	PR_Q8R420
Q9GZP9	PR_Q9GZP9
Q55CN8	PR_Q55CN8
Q9BSJ8	PR_Q9BSJ8
Q8N5I2	PR_Q8N5I2
Q1ECF1	PR_Q1ECF1
P92965	PR_P92965
O54785	PR_O54785
Q46604	PR_Q46604
Q5ZJV9	PR_Q5ZJV9
Q08457	PR_Q08457
Q9LU46	PR_Q9LU46
P48788	PR_P48788
A5I7J7	PR_A5I7J7
Q60884	PR_Q60884
Q9JJV4	PR_Q9JJV4
Q80V38	PR_Q80V38
Q20230	PR_Q20230
Q23310	PR_Q23310
Q9WVS8	PR_Q9WVS8
Q9LV12	PR_Q9LV12
P43076	PR_P43076
P58682	PR_P58682
Q9H2X0	PR_Q9H2X0
Q6PC64	PR_Q6PC64
Q99KF1	PR_Q99KF1
Q8BY89	PR_Q8BY89
Q8C1E1	PR_Q8C1E1
Q11105	PR_Q11105
O75015	PR_O75015
A1L1G1	PR_A1L1G1
Q10303	PR_Q10303
P28917	PR_P28917
A5A607	PR_A5A607
Q54SD4	PR_Q54SD4
P93834	PR_P93834
P27466	PR_P27466
E7FDE0	PR_E7FDE0
F4IW10	PR_F4IW10
O35668	PR_O35668
P0CF86	PR_P0CF86
O64792	PR_O64792
F4IDS7	PR_F4IDS7
O35127	PR_O35127
Q8WTW4	PR_Q8WTW4
P34577	PR_P34577
Q68FL6	PR_Q68FL6
O04591	PR_O04591
P47944	PR_P47944
Q9QWI6	PR_Q9QWI6
Q9U7E0	PR_Q9U7E0
Q8N9M5	PR_Q8N9M5
P64463	PR_P64463
Q869Q8	PR_Q869Q8
P60484	PR_P60484
Q8IVL0	PR_Q8IVL0
Q6GXJ1	PR_Q6GXJ1
P18861	PR_P18861
Q9LX31	PR_Q9LX31
Q9VYQ5	PR_Q9VYQ5
Q17430	PR_Q17430
P16086	PR_P16086
Q9M9L3	PR_Q9M9L3
O42953	PR_O42953
Q9FGT8	PR_Q9FGT8
Q8YHX5	PR_Q8YHX5
P32790	PR_P32790
Q9WVK7	PR_Q9WVK7
Q6IMT0	PR_Q6IMT0
Q8VY97	PR_Q8VY97
O59794	PR_O59794
Q02094	PR_Q02094
Q9FFX1	PR_Q9FFX1
P05413	PR_P05413
Q9D742	PR_Q9D742
Q55FI3	PR_Q55FI3
Q63664	PR_Q63664
Q6NSI8	PR_Q6NSI8
Q6QI68	PR_Q6QI68
P12270	PR_P12270
Q54KI0	PR_Q54KI0
Q10222	PR_Q10222
Q559W3	PR_Q559W3
Q6ZQK0	PR_Q6ZQK0
Q63132	PR_Q63132
Q54U89	PR_Q54U89
A8DYH2	PR_A8DYH2
Q7T2A3	PR_Q7T2A3
Q96F86	PR_Q96F86
Q94615	PR_Q94615
Q1ZXB2	PR_Q1ZXB2
O14776	PR_O14776
Q8K0E8	PR_Q8K0E8
Q9D2C7	PR_Q9D2C7
Q1LUI2	PR_Q1LUI2
P78356	PR_P78356
A2AEY4	PR_A2AEY4
A0A087WW87	PR_A0A087WW87
O80927	PR_O80927
Q9FFS3	PR_Q9FFS3
Q9NYW8	PR_Q9NYW8
A5WUN7	PR_A5WUN7
O15819	PR_O15819
Q8WXS8	PR_Q8WXS8
Q3U1J4	PR_Q3U1J4
P22202	PR_P22202
Q9USJ2	PR_Q9USJ2
Q9JIA1	PR_Q9JIA1
Q5HH35	PR_Q5HH35
P24588	PR_P24588
Q90Y57	PR_Q90Y57
Q9QZR0	PR_Q9QZR0
Q60766	PR_Q60766
P51116	PR_P51116
O13872	PR_O13872
Q8WWG9	PR_Q8WWG9
P0AFB1	PR_P0AFB1
Q6ZSI9	PR_Q6ZSI9
P34215	PR_P34215
Q64338	PR_Q64338
P39526	PR_P39526
P10635	PR_P10635
P56400	PR_P56400
Q7ZWG6	PR_Q7ZWG6
P0DMM9	PR_P0DMM9
O88487	PR_O88487
Q9EPW2	PR_Q9EPW2
Q8IA42	PR_Q8IA42
O74955	PR_O74955
Q91ZC0	PR_Q91ZC0
Q8GY63	PR_Q8GY63
Q99NB2	PR_Q99NB2
Q8T277	PR_Q8T277
Q19124	PR_Q19124
Q8GY25	PR_Q8GY25
P42669	PR_P42669
Q9C920	PR_Q9C920
Q03963	PR_Q03963
B2RYW9	PR_B2RYW9
Q02809	PR_Q02809
Q54GX7	PR_Q54GX7
Q6VVW5	PR_Q6VVW5
P48380	PR_P48380
P35503	PR_P35503
Q6E0V2	PR_Q6E0V2
P76486	PR_P76486
Q9Y3A2	PR_Q9Y3A2
Q2NKJ3	PR_Q2NKJ3
O15706	PR_O15706
A4D161	PR_A4D161
Q80TR4	PR_Q80TR4
Q6ZT21	PR_Q6ZT21
Q9ZP16	PR_Q9ZP16
Q3UFY7	PR_Q3UFY7
Q04233	PR_Q04233
Q9D5R2	PR_Q9D5R2
Q53QW1	PR_Q53QW1
P31942	PR_P31942
A6NKF2	PR_A6NKF2
Q3ECP0	PR_Q3ECP0
Q21109	PR_Q21109
Q99JY3	PR_Q99JY3
Q9LM93	PR_Q9LM93
Q9Y4B6	PR_Q9Y4B6
P60008	PR_P60008
Q54W64	PR_Q54W64
H2KYP0	PR_H2KYP0
Q7XB08	PR_Q7XB08
Q9JM93	PR_Q9JM93
P33892	PR_P33892
Q8JZR6	PR_Q8JZR6
Q9CZI9	PR_Q9CZI9
Q7X8C5	PR_Q7X8C5
Q6ZN19	PR_Q6ZN19
Q9GZI6	PR_Q9GZI6
Q20471	PR_Q20471
Q0VEJ0	PR_Q0VEJ0
P91477	PR_P91477
P14199	PR_P14199
P50897	PR_P50897
Q43315	PR_Q43315
Q9FJP2	PR_Q9FJP2
P0C1G7	PR_P0C1G7
Q3UJF0	PR_Q3UJF0
P00995	PR_P00995
Q13643	PR_Q13643
Q07951	PR_Q07951
Q96242	PR_Q96242
Q55GG6	PR_Q55GG6
Q9XWI6	PR_Q9XWI6
Q5VZQ5	PR_Q5VZQ5
P17153	PR_P17153
P0AEX7	PR_P0AEX7
P90846	PR_P90846
A6X8Z9	PR_A6X8Z9
Q4PJX1	PR_Q4PJX1
Q9BZ81	PR_Q9BZ81
Q9V3F3	PR_Q9V3F3
P36124	PR_P36124
O14188	PR_O14188
Q22616	PR_Q22616
Q6NZP1	PR_Q6NZP1
F4KEL0	PR_F4KEL0
P53107	PR_P53107
Q0WSU0	PR_Q0WSU0
Q9Y608	PR_Q9Y608
Q8U9V8	PR_Q8U9V8
Q20P12	PR_Q20P12
Q9ZUN0	PR_Q9ZUN0
Q96SW2	PR_Q96SW2
Q6ZPB5	PR_Q6ZPB5
P30355	PR_P30355
Q9CQI9	PR_Q9CQI9
C0HKE2	PR_C0HKE2
Q9SU14	PR_Q9SU14
P15806	PR_P15806
Q91VM5	PR_Q91VM5
Q9FXB9	PR_Q9FXB9
P51124	PR_P51124
Q5ZK62	PR_Q5ZK62
Q23885	PR_Q23885
O42182	PR_O42182
Q05015	PR_Q05015
Q69FH1	PR_Q69FH1
Q86X55	PR_Q86X55
Q96NF6	PR_Q96NF6
P43576	PR_P43576
Q9FIC9	PR_Q9FIC9
Q8IW75	PR_Q8IW75
Q5HYJ1	PR_Q5HYJ1
P32704	PR_P32704
Q9ESQ8	PR_Q9ESQ8
Q61900	PR_Q61900
Q9UK85	PR_Q9UK85
Q14BJ1	PR_Q14BJ1
Q60889	PR_Q60889
P40050	PR_P40050
P0C7M6	PR_P0C7M6
P22680	PR_P22680
Q9SKJ5	PR_Q9SKJ5
Q89687	PR_Q89687
P64128	PR_P64128
Q5VZ03	PR_Q5VZ03
Q940J8	PR_Q940J8
P07825	PR_P07825
Q7Z410	PR_Q7Z410
Q54IN8	PR_Q54IN8
Q8CI70	PR_Q8CI70
P62307	PR_P62307
Q9Y5R5	PR_Q9Y5R5
Q9LME2	PR_Q9LME2
Q54J33	PR_Q54J33
Q86D25	PR_Q86D25
Q26365	PR_Q26365
P08274	PR_P08274
Q9U2C4	PR_Q9U2C4
Q5A5M7	PR_Q5A5M7
A2AB59	PR_A2AB59
Q8BXR1	PR_Q8BXR1
O82330	PR_O82330
P41212	PR_P41212
Q93015	PR_Q93015
Q9P7R5	PR_Q9P7R5
Q9UHI6	PR_Q9UHI6
O54988	PR_O54988
O35141	PR_O35141
Q9EP53	PR_Q9EP53
Q9WVL1	PR_Q9WVL1
P29533	PR_P29533
Q04265	PR_Q04265
A1L1J6	PR_A1L1J6
Q78JW9	PR_Q78JW9
P22086	PR_P22086
Q69ZS7	PR_Q69ZS7
Q67ES6	PR_Q67ES6
A0A075B6L2	PR_A0A075B6L2
Q7ZUV0	PR_Q7ZUV0
P0CG07	PR_P0CG07
Q8I8U7	PR_Q8I8U7
A0A0R4IYX6	PR_A0A0R4IYX6
Q9H5V8	PR_Q9H5V8
Q9LF53	PR_Q9LF53
Q8VCK5	PR_Q8VCK5
Q9BVS4	PR_Q9BVS4
O43075	PR_O43075
Q8BUH7	PR_Q8BUH7
Q99KG3	PR_Q99KG3
A5I6D9	PR_A5I6D9
Q3E7X9	PR_Q3E7X9
Q99643	PR_Q99643
Q81J29	PR_Q81J29
Q12404	PR_Q12404
Q86YL7	PR_Q86YL7
Q3UHC2	PR_Q3UHC2
Q23272	PR_Q23272
O49447	PR_O49447
P34583	PR_P34583
Q9UG63	PR_Q9UG63
P9WQD9	PR_P9WQD9
Q39231	PR_Q39231
Q10331	PR_Q10331
P52490	PR_P52490
P39947	PR_P39947
Q8BN78	PR_Q8BN78
Q9Y5F9	PR_Q9Y5F9
P87275	PR_P87275
P75620	PR_P75620
Q2FZ82	PR_Q2FZ82
O94654	PR_O94654
Q6UX82	PR_Q6UX82
Q87L43	PR_Q87L43
Q8BW10	PR_Q8BW10
P31246	PR_P31246
Q809Y0	PR_Q809Y0
Q19614	PR_Q19614
Q3ZCH0	PR_Q3ZCH0
Q0KIC3	PR_Q0KIC3
Q05707	PR_Q05707
Q8L7Z3	PR_Q8L7Z3
Q2YMF8	PR_Q2YMF8
Q55BE6	PR_Q55BE6
Q9LTH3	PR_Q9LTH3
Q9JJM7	PR_Q9JJM7
Q8CJ96	PR_Q8CJ96
P24181	PR_P24181
O13916	PR_O13916
Q8LPF3	PR_Q8LPF3
Q9UTH3	PR_Q9UTH3
Q5M969	PR_Q5M969
Q9GSR1	PR_Q9GSR1
Q948K8	PR_Q948K8
O80443	PR_O80443
Q15726	PR_Q15726
Q9SAD7	PR_Q9SAD7
Q9FIX1	PR_Q9FIX1
P34431	PR_P34431
P01160	PR_P01160
Q9UBH0	PR_Q9UBH0
P75975	PR_P75975
Q6DIB5	PR_Q6DIB5
Q2FXP7	PR_Q2FXP7
Q96LK0	PR_Q96LK0
P18889	PR_P18889
D4A9I3	PR_D4A9I3
Q9Y1I2	PR_Q9Y1I2
F4IZ82	PR_F4IZ82
Q8TC17	PR_Q8TC17
O60109	PR_O60109
E9Q236	PR_E9Q236
F4K1B4	PR_F4K1B4
Q54PN2	PR_Q54PN2
Q99928	PR_Q99928
Q54VX7	PR_Q54VX7
Q7TN49	PR_Q7TN49
Q10323	PR_Q10323
P9WPU7	PR_P9WPU7
Q5TEU4	PR_Q5TEU4
B2RZ42	PR_B2RZ42
Q9Y7Q3	PR_Q9Y7Q3
P9WH79	PR_P9WH79
Q99258	PR_Q99258
Q91V08	PR_Q91V08
Q04756	PR_Q04756
Q9LQ27	PR_Q9LQ27
Q19743	PR_Q19743
Q10164	PR_Q10164
P70505	PR_P70505
P32799	PR_P32799
Q54UN2	PR_Q54UN2
Q6DID3	PR_Q6DID3
Q9BS86	PR_Q9BS86
P02843	PR_P02843
Q9M896	PR_Q9M896
A0A0K3AUJ9	PR_A0A0K3AUJ9
Q54S98	PR_Q54S98
P22914	PR_P22914
Q9FIM6	PR_Q9FIM6
Q8N111	PR_Q8N111
Q9VNJ5	PR_Q9VNJ5
P0AE82	PR_P0AE82
O80341	PR_O80341
Q6DRG7	PR_Q6DRG7
Q9D2H8	PR_Q9D2H8
Q8I0P7	PR_Q8I0P7
Q55BT1	PR_Q55BT1
Q90X67	PR_Q90X67
P08220	PR_P08220
O96014	PR_O96014
Q2YFS1	PR_Q2YFS1
O76360	PR_O76360
Q9R0K7	PR_Q9R0K7
Q56VL3	PR_Q56VL3
Q9FIY7	PR_Q9FIY7
Q6HPP4	PR_Q6HPP4
Q96LC7	PR_Q96LC7
P10403	PR_P10403
Q9SJ02	PR_Q9SJ02
Q07533	PR_Q07533
O64635	PR_O64635
P76064	PR_P76064
Q58EG3	PR_Q58EG3
P38068	PR_P38068
P04076	PR_P04076
Q99MS3	PR_Q99MS3
Q8CGP0	PR_Q8CGP0
O96008	PR_O96008
Q9C117	PR_Q9C117
P32701	PR_P32701
Q27J81	PR_Q27J81
A8K8V0	PR_A8K8V0
P46151	PR_P46151
Q61423	PR_Q61423
P81377	PR_P81377
Q04047	PR_Q04047
Q6XTD9	PR_Q6XTD9
Q8BHI7	PR_Q8BHI7
Q54TI3	PR_Q54TI3
Q9CQ86	PR_Q9CQ86
O08856	PR_O08856
Q6UWI4	PR_Q6UWI4
Q6JBY9	PR_Q6JBY9
Q8K592	PR_Q8K592
Q5M836	PR_Q5M836
Q02892	PR_Q02892
Q9LTH8	PR_Q9LTH8
Q9DA77	PR_Q9DA77
Q96C10	PR_Q96C10
Q5ZIJ0	PR_Q5ZIJ0
Q69ZK0	PR_Q69ZK0
O61902	PR_O61902
Q8CWR5	PR_Q8CWR5
P38690	PR_P38690
Q7TNY1	PR_Q7TNY1
A5WVU9	PR_A5WVU9
Q96BT7	PR_Q96BT7
Q46851	PR_Q46851
Q8G5J9	PR_Q8G5J9
D3ZN57	PR_D3ZN57
Q2V3H0	PR_Q2V3H0
Q55BG7	PR_Q55BG7
Q12185	PR_Q12185
Q94KK6	PR_Q94KK6
Q96MA6	PR_Q96MA6
Q9BT09	PR_Q9BT09
P32609	PR_P32609
P40646	PR_P40646
O35260	PR_O35260
P47160	PR_P47160
O80543	PR_O80543
Q9SSF0	PR_Q9SSF0
P0CE11	PR_P0CE11
P54872	PR_P54872
P23060	PR_P23060
Q4KLY0	PR_Q4KLY0
Q8CGE9	PR_Q8CGE9
Q6WNK7	PR_Q6WNK7
Q9LS01	PR_Q9LS01
P38992	PR_P38992
Q03718	PR_Q03718
Q09687	PR_Q09687
Q8VE49	PR_Q8VE49
Q68FS4	PR_Q68FS4
Q8R1P5	PR_Q8R1P5
P61354	PR_P61354
O95551	PR_O95551
O94652	PR_O94652
Q29092	PR_Q29092
P40993	PR_P40993
Q55G81	PR_Q55G81
Q555L9	PR_Q555L9
Q7TNK3	PR_Q7TNK3
P69709	PR_P69709
Q5I0G4	PR_Q5I0G4
Q4KLM5	PR_Q4KLM5
Q55GU4	PR_Q55GU4
Q20930	PR_Q20930
P52010	PR_P52010
Q9Y4D2	PR_Q9Y4D2
P08800	PR_P08800
O43143	PR_O43143
P10275	PR_P10275
Q9BL19	PR_Q9BL19
P14484	PR_P14484
Q8L467	PR_Q8L467
O89747	PR_O89747
Q2FWV6	PR_Q2FWV6
Q7KTX7	PR_Q7KTX7
Q9SL94	PR_Q9SL94
P0AF76	PR_P0AF76
Q9QZH6	PR_Q9QZH6
Q9HAU0	PR_Q9HAU0
Q91XD3	PR_Q91XD3
Q54GV3	PR_Q54GV3
E7FAP1	PR_E7FAP1
Q4KMZ1	PR_Q4KMZ1
Q94AK4	PR_Q94AK4
P63219	PR_P63219
P0A474	PR_P0A474
P38283	PR_P38283
Q54KA7	PR_Q54KA7
P22354	PR_P22354
P47176	PR_P47176
Q8BW93	PR_Q8BW93
Q8NB59	PR_Q8NB59
Q9Y5H4	PR_Q9Y5H4
P43146	PR_P43146
O82166	PR_O82166
Q55EL2	PR_Q55EL2
Q9SZE1	PR_Q9SZE1
P62843	PR_P62843
P17917	PR_P17917
Q9T0G2	PR_Q9T0G2
Q62611	PR_Q62611
Q8RWT0	PR_Q8RWT0
Q58A48	PR_Q58A48
Q960A0	PR_Q960A0
A5WUX7	PR_A5WUX7
Q6NY41	PR_Q6NY41
P10688	PR_P10688
Q8N7P3	PR_Q8N7P3
M1SI40	PR_M1SI40
E7EU14	PR_E7EU14
Q9C6B2	PR_Q9C6B2
Q99595	PR_Q99595
O94502	PR_O94502
Q12824	PR_Q12824
Q9N356	PR_Q9N356
Q3USH1	PR_Q3USH1
Q12913	PR_Q12913
C7LIY7	PR_C7LIY7
G5EFD9	PR_G5EFD9
Q10314	PR_Q10314
Q58EK3	PR_Q58EK3
O60161	PR_O60161
P02489	PR_P02489
P54369	PR_P54369
Q556U6	PR_Q556U6
P15822	PR_P15822
Q9SN52	PR_Q9SN52
Q6DR10	PR_Q6DR10
P27837	PR_P27837
O08677	PR_O08677
Q5JPB2	PR_Q5JPB2
Q9Y106	PR_Q9Y106
P11464	PR_P11464
O75711	PR_O75711
Q03390	PR_Q03390
Q7L3S4	PR_Q7L3S4
Q66I06	PR_Q66I06
O88978	PR_O88978
O43708	PR_O43708
Q9H5Z1	PR_Q9H5Z1
P08459	PR_P08459
O59646	PR_O59646
Q20PM2	PR_Q20PM2
Q55E34	PR_Q55E34
O35284	PR_O35284
Q9Z191	PR_Q9Z191
O64639	PR_O64639
Q96KK3	PR_Q96KK3
Q8C7R4	PR_Q8C7R4
Q9CZX0	PR_Q9CZX0
Q94AY1	PR_Q94AY1
E1BXT7	PR_E1BXT7
Q6V0L0	PR_Q6V0L0
Q8IUW5	PR_Q8IUW5
Q8BQH6	PR_Q8BQH6
Q54Z69	PR_Q54Z69
B2RXZ1	PR_B2RXZ1
Q54W04	PR_Q54W04
Q03705	PR_Q03705
O04036	PR_O04036
Q5T1A1	PR_Q5T1A1
P23871	PR_P23871
Q503F2	PR_Q503F2
P27303	PR_P27303
Q8C3Q9	PR_Q8C3Q9
Q9SIW2	PR_Q9SIW2
Q5BK68	PR_Q5BK68
P30874	PR_P30874
P32047	PR_P32047
P10168	PR_P10168
P26794	PR_P26794
P33033	PR_P33033
O08628	PR_O08628
P0C272	PR_P0C272
Q4QQT5	PR_Q4QQT5
P83038	PR_P83038
A5I1A6	PR_A5I1A6
Q86A68	PR_Q86A68
P37366	PR_P37366
Q9M9Y9	PR_Q9M9Y9
P40261	PR_P40261
O13614	PR_O13614
P0CF46	PR_P0CF46
Q2M1P5	PR_Q2M1P5
P45725	PR_P45725
Q9ET30	PR_Q9ET30
Q99933	PR_Q99933
Q5ZIT9	PR_Q5ZIT9
Q8NI08	PR_Q8NI08
P06530	PR_P06530
Q41914	PR_Q41914
Q9SLL7	PR_Q9SLL7
Q8C8V1	PR_Q8C8V1
G2TRQ6	PR_G2TRQ6
O76071	PR_O76071
Q6DNY0	PR_Q6DNY0
P24668	PR_P24668
Q9FGT1	PR_Q9FGT1
A7MBL8	PR_A7MBL8
Q7ZT11	PR_Q7ZT11
Q54YK1	PR_Q54YK1
Q12509	PR_Q12509
Q9BW61	PR_Q9BW61
Q1G3M2	PR_Q1G3M2
Q06675	PR_Q06675
Q54NZ8	PR_Q54NZ8
Q9HCF6	PR_Q9HCF6
Q67YC0	PR_Q67YC0
Q61772	PR_Q61772
Q60585	PR_Q60585
Q13153	PR_Q13153
Q5TZ51	PR_Q5TZ51
Q9JKX6	PR_Q9JKX6
Q5AAJ8	PR_Q5AAJ8
Q7TSN2	PR_Q7TSN2
Q8N9X5	PR_Q8N9X5
Q5FVN2	PR_Q5FVN2
P35191	PR_P35191
P04037	PR_P04037
A8MZ97	PR_A8MZ97
P43289	PR_P43289
P0CD93	PR_P0CD93
Q9FG13	PR_Q9FG13
Q60943	PR_Q60943
Q2G1D8	PR_Q2G1D8
Q5BPF3	PR_Q5BPF3
Q9Y6A9	PR_Q9Y6A9
Q8VI63	PR_Q8VI63
P38623	PR_P38623
O14514	PR_O14514
Q86I25	PR_Q86I25
Q9P3W1	PR_Q9P3W1
P18916	PR_P18916
P45527	PR_P45527
Q08AE8	PR_Q08AE8
Q9I923	PR_Q9I923
Q9Y676	PR_Q9Y676
Q9FNN3	PR_Q9FNN3
Q8BQU3	PR_Q8BQU3
P58019	PR_P58019
Q84JD5	PR_Q84JD5
Q5F506	PR_Q5F506
Q8BZ33	PR_Q8BZ33
P51690	PR_P51690
P0C5L6	PR_P0C5L6
Q9NPI1	PR_Q9NPI1
P38615	PR_P38615
P15514	PR_P15514
P61970	PR_P61970
P78827	PR_P78827
Q54XM0	PR_Q54XM0
Q95YL4	PR_Q95YL4
Q86VE3	PR_Q86VE3
Q9H6Y5	PR_Q9H6Y5
Q9Y230	PR_Q9Y230
Q9CYI4	PR_Q9CYI4
Q5ZK82	PR_Q5ZK82
Q8VHW7	PR_Q8VHW7
Q06402	PR_Q06402
Q38813	PR_Q38813
P0C5U1	PR_P0C5U1
P60369	PR_P60369
P60240	PR_P60240
Q9LQC9	PR_Q9LQC9
A0JMD0	PR_A0JMD0
