Protein.uniprotID	Protein.proID
Q8WUU4	PR_Q8WUU4
Q61468	PR_Q61468
Q8N1W1	PR_Q8N1W1
O57391	PR_O57391
P03878	PR_P03878
Q27564	PR_Q27564
Q9C552	PR_Q9C552
Q6V3W6	PR_Q6V3W6
Q9SWI1	PR_Q9SWI1
P40457	PR_P40457
Q8IZL2	PR_Q8IZL2
Q03465	PR_Q03465
Q55DH6	PR_Q55DH6
Q3TTP0	PR_Q3TTP0
A6NJZ3	PR_A6NJZ3
Q6PD26	PR_Q6PD26
Q12756	PR_Q12756
Q09714	PR_Q09714
O32583	PR_O32583
P0C6I5	PR_P0C6I5
Q9JMA2	PR_Q9JMA2
Q6R3M4	PR_Q6R3M4
P40235	PR_P40235
Q60644	PR_Q60644
P47048	PR_P47048
P06612	PR_P06612
F2Y4A3	PR_F2Y4A3
P21657	PR_P21657
Q80XL7	PR_Q80XL7
Q8N668	PR_Q8N668
Q3MHT3	PR_Q3MHT3
P54132	PR_P54132
P55040	PR_P55040
Q9D0B8	PR_Q9D0B8
Q5LJP9	PR_Q5LJP9
P56211	PR_P56211
Q9NV23	PR_Q9NV23
P19234	PR_P19234
Q13093	PR_Q13093
P61809	PR_P61809
P55773	PR_P55773
Q9D5W4	PR_Q9D5W4
O14145	PR_O14145
Q5FVH0	PR_Q5FVH0
Q06135	PR_Q06135
P76180	PR_P76180
Q9V7D2	PR_Q9V7D2
Q9ZUU8	PR_Q9ZUU8
Q9JIS5	PR_Q9JIS5
Q04705	PR_Q04705
A7YE96	PR_A7YE96
P55085	PR_P55085
Q7JQW6	PR_Q7JQW6
O88312	PR_O88312
Q93009	PR_Q93009
Q54ML2	PR_Q54ML2
P41242	PR_P41242
Q6P1X5	PR_Q6P1X5
Q7TSN5	PR_Q7TSN5
Q19133	PR_Q19133
P76237	PR_P76237
Q9WCD8	PR_Q9WCD8
P28651	PR_P28651
Q9VB14	PR_Q9VB14
P45565	PR_P45565
Q9BSD7	PR_Q9BSD7
P0AD59	PR_P0AD59
P24383	PR_P24383
Q9FF66	PR_Q9FF66
O32528	PR_O32528
Q9FZ76	PR_Q9FZ76
P05824	PR_P05824
P69269	PR_P69269
Q11194	PR_Q11194
Q5PQQ2	PR_Q5PQQ2
Q5VWQ0	PR_Q5VWQ0
P42667	PR_P42667
P25295	PR_P25295
Q9W107	PR_Q9W107
Q5FVQ0	PR_Q5FVQ0
P12995	PR_P12995
Q6EWX0	PR_Q6EWX0
Q5ZI72	PR_Q5ZI72
Q54NA6	PR_Q54NA6
A6NNZ2	PR_A6NNZ2
D4AA47	PR_D4AA47
E1C4C0	PR_E1C4C0
O14980	PR_O14980
Q68FR7	PR_Q68FR7
Q9SX24	PR_Q9SX24
Q9C6P3	PR_Q9C6P3
Q5ZLC8	PR_Q5ZLC8
Q9D8Z6	PR_Q9D8Z6
C0LGT6	PR_C0LGT6
Q59MF9	PR_Q59MF9
Q9D8T7	PR_Q9D8T7
Q54NI1	PR_Q54NI1
Q2G157	PR_Q2G157
Q18439	PR_Q18439
Q8CC36	PR_Q8CC36
Q86U86	PR_Q86U86
Q8CBY1	PR_Q8CBY1
P0AAE2	PR_P0AAE2
P49816	PR_P49816
P13265	PR_P13265
O82768	PR_O82768
Q9LXZ3	PR_Q9LXZ3
B1B212	PR_B1B212
Q2V468	PR_Q2V468
Q9D4D4	PR_Q9D4D4
Q1LX78	PR_Q1LX78
Q9P7E0	PR_Q9P7E0
Q9C6A1	PR_Q9C6A1
P17438	PR_P17438
Q9C0H2	PR_Q9C0H2
Q94B77	PR_Q94B77
Q47684	PR_Q47684
Q2FWL6	PR_Q2FWL6
P53611	PR_P53611
Q8IYN6	PR_Q8IYN6
