Chemical.meshID	Chemical.chebiID
MESH_D005467	CHEBI_60761
MESH_C084589	CHEBI_31952
MESH_C058577	CHEBI_5592
MESH_C018361	CHEBI_60296
MESH_C500283	CHEBI_6600
MESH_C019535	CHEBI_53247
MESH_C012293	CHEBI_77572
MESH_C436753	CHEBI_28536
MESH_D002119	CHEBI_3311
MESH_C002415	CHEBI_49305
MESH_C000622305	CHEBI_168467
MESH_C508167	CHEBI_24559
MESH_C412605	CHEBI_68465
MESH_C009884	CHEBI_67206
MESH_D004953	CHEBI_142773
MESH_C413607	CHEBI_61123
MESH_C074190	CHEBI_35044
MESH_C018392	CHEBI_9679
MESH_D010972	CHEBI_36707
MESH_C576565	CHEBI_27607
MESH_D000077549	CHEBI_195280
MESH_C482241	CHEBI_83528
MESH_D015636	CHEBI_6636
MESH_C046608	CHEBI_32279
MESH_D013095	CHEBI_16610
MESH_C500734	CHEBI_80214
MESH_C575777	CHEBI_155895
MESH_C509204	CHEBI_131504
MESH_C043850	CHEBI_66927
MESH_D006861	CHEBI_16240
MESH_D000808	CHEBI_2720
MESH_C048381	CHEBI_32905
MESH_D017895	CHEBI_25154
MESH_C040684	CHEBI_7522
MESH_C073551	CHEBI_36222
MESH_C011363	CHEBI_15702
MESH_C584123	CHEBI_78259
MESH_C024566	CHEBI_36015
MESH_C087412	CHEBI_44692
MESH_C001059	CHEBI_34935
MESH_C000632228	CHEBI_39389
MESH_C051853	CHEBI_18225
MESH_C046300	CHEBI_16168
MESH_C025280	CHEBI_30737
MESH_C525152	CHEBI_28263
MESH_C007419	CHEBI_15901
MESH_C509426	CHEBI_132798
MESH_D000069286	CHEBI_52717
MESH_C000655019	CHEBI_143110
MESH_C008886	CHEBI_28475
MESH_C417209	CHEBI_39175
MESH_C043333	CHEBI_25097
MESH_D005741	CHEBI_33309
MESH_C071023	CHEBI_29145
MESH_D058766	CHEBI_63606
MESH_D000067856	CHEBI_62913
MESH_C472511	CHEBI_23808
MESH_C473496	CHEBI_2493
MESH_C042128	CHEBI_34205
MESH_C066286	CHEBI_32721
MESH_C017461	CHEBI_37187
MESH_C019429	CHEBI_63795
MESH_C502582	CHEBI_38937
MESH_C003491	CHEBI_34475
MESH_D011099	CHEBI_60533
