Protein.proID	Cofactor.chebiID
PR_Q9NRY7	CHEBI_29108
PR_O75038	CHEBI_29108
PR_P11216	CHEBI_597326
PR_Q9H2B2	CHEBI_29108
PR_Q5T7P8	CHEBI_29108
PR_P24557	CHEBI_30413
PR_P13674	CHEBI_38290
PR_P13674	CHEBI_29033
PR_P05187	CHEBI_29105
PR_P05187	CHEBI_18420
PR_Q8N3J5	CHEBI_18420
PR_Q8N3J5	CHEBI_29035
PR_P21549	CHEBI_597326
PR_Q8NFT2	CHEBI_57692
PR_Q8NFT2	CHEBI_30413
PR_Q9NRP7	CHEBI_18420
PR_Q658P3	CHEBI_57692
PR_Q658P3	CHEBI_30413
PR_Q9BYN0	CHEBI_18420
PR_O95932	CHEBI_29108
PR_P49643	CHEBI_49883
PR_Q8IXN7	CHEBI_18420
PR_Q8IXN7	CHEBI_29035
PR_Q9BQ83	CHEBI_60240
PR_Q9H4K7	CHEBI_18420
PR_Q8N9H8	CHEBI_18420
PR_Q96J94	CHEBI_18420
PR_P49790	CHEBI_29105
PR_Q9NPB1	CHEBI_18420
PR_Q9NRA0	CHEBI_18420
PR_Q15208	CHEBI_18420
PR_Q5JTZ9	CHEBI_29105
PR_Q9P212	CHEBI_29108
PR_Q59H18	CHEBI_18420
PR_Q02880	CHEBI_18420
PR_Q02880	CHEBI_29108
PR_Q02880	CHEBI_29035
PR_Q9NYU1	CHEBI_29108
PR_Q9NYU1	CHEBI_29035
PR_Q5JRX3	CHEBI_29105
PR_O43374	CHEBI_29108
PR_Q9BRS2	CHEBI_18420
PR_Q8IVL6	CHEBI_38290
PR_Q8IVL6	CHEBI_24875
PR_O00764	CHEBI_29105
PR_O00764	CHEBI_18420
PR_O00764	CHEBI_29035
PR_O00764	CHEBI_48828
PR_Q9P2R7	CHEBI_18420
PR_P49842	CHEBI_29035
PR_O43548	CHEBI_29108
PR_Q9ULZ9	CHEBI_29105
PR_Q9ULZ9	CHEBI_29108
PR_Q9Y6K5	CHEBI_18420
PR_Q9BXP8	CHEBI_29105
