Protein.proID	Catalyst.chebiID
PR_Q9P0Z9	CHEBI_57305
PR_Q9P0Z9	CHEBI_16842
PR_P61011	CHEBI_15377
PR_P61011	CHEBI_15378
PR_P61011	CHEBI_43474
PR_P61011	CHEBI_37565
PR_P61011	CHEBI_58189
PR_Q8TE77	CHEBI_15377
PR_Q8TE77	CHEBI_43474
PR_Q8TE77	CHEBI_61977
PR_Q8TE77	CHEBI_46858
PR_Q8TE77	CHEBI_83421
PR_Q8TE77	CHEBI_82620
PR_Q8TE77	CHEBI_30013
PR_Q8TE77	CHEBI_29999
PR_P49588	CHEBI_78497
PR_P49588	CHEBI_456215
PR_P49588	CHEBI_57972
PR_P49588	CHEBI_30616
PR_P49588	CHEBI_78442
PR_P49588	CHEBI_33019
PR_P21980	CHEBI_138370
PR_P21980	CHEBI_58432
PR_P21980	CHEBI_59905
PR_P21980	CHEBI_167174
PR_P21980	CHEBI_167175
PR_P21980	CHEBI_167178
PR_P21980	CHEBI_167179
PR_P21980	CHEBI_28938
PR_P21980	CHEBI_72587
PR_P21980	CHEBI_29969
PR_P21980	CHEBI_15377
PR_P21980	CHEBI_29973
PR_P21980	CHEBI_350546
PR_P21980	CHEBI_30011
PR_O94811	CHEBI_15377
PR_O94811	CHEBI_15378
PR_O94811	CHEBI_43474
PR_O94811	CHEBI_37565
PR_O94811	CHEBI_58189
PR_Q8N661	CHEBI_143890
PR_Q8N661	CHEBI_15377
PR_Q8N661	CHEBI_77287
PR_Q8N661	CHEBI_16870
PR_Q8N661	CHEBI_77288
PR_Q8N661	CHEBI_73359
PR_Q6PF06	CHEBI_57856
PR_Q6PF06	CHEBI_15378
PR_Q6PF06	CHEBI_73542
PR_Q6PF06	CHEBI_74269
PR_Q6PF06	CHEBI_59789
PR_Q86T03	CHEBI_15377
PR_Q86T03	CHEBI_43474
PR_Q86T03	CHEBI_57795
PR_Q86T03	CHEBI_58456
PR_Q96MI6	CHEBI_15377
PR_Q96MI6	CHEBI_43474
PR_Q96MI6	CHEBI_61977
PR_Q96MI6	CHEBI_83421
