Phenotype.umls	Phenotype.hpoID
1001796	HP_0030074
1001796	HP_0002668
1001800	HP_0008441
1001801	HP_0100309
1001826	HP_0031405
1001831	HP_0031549
1001837	HP_0100822
1001839	HP_0002835
1001850	HP_0100808
1001859	HP_0000034
1001859	HP_0100673
1001864	HP_0000139
1001866	HP_0002933
1001882	HP_0012309
1001938	HP_0012539
1001938	HP_0012191
1001938	HP_0002665
1001938	HP_0030069
1001941	HP_0100526
1001941	HP_0006519
1001941	HP_0030078
1001941	HP_0030358
1001951	HP_0040275
1001951	HP_0100273
1001951	HP_0100834
1001951	HP_0003003
1001974	HP_0002891
1001984	HP_0030843
1001985	HP_0001491
1001993	HP_0100324
1002014	HP_0000716
1002031	HP_0012189
1002040	HP_0025612
1002048	HP_0000083
1002049	HP_0100820
1002050	HP_0100820
1002050	HP_0000123
1002050	HP_0000112
1002050	HP_0000077
1002050	HP_0000099
1002051	HP_0000317
1002051	HP_0007209
1002051	HP_0010628
C4025901	HP_0000002
C3714581	HP_0000003
C4025900	HP_0000008
C3806583	HP_0000009
C0262655	HP_0000010
C0005697	HP_0000011
C4020898	HP_0000012
C0085606	HP_0000012
C0878773	HP_0000012
C0266399	HP_0000013
C0149632	HP_0000014
C0156273	HP_0000015
C0080274	HP_0000016
C0028734	HP_0000017
C0042024	HP_0000020
C1855311	HP_0000021
C4025899	HP_0000022
C0019294	HP_0000023
C0033581	HP_0000024
C4025898	HP_0000025
C0151721	HP_0000026
C0004509	HP_0000027
C0010417	HP_0000028
C0156312	HP_0000029
C1515283	HP_0000030
C0014534	HP_0000031
C4025897	HP_0000032
C4021823	HP_0000033
C1720771	HP_0100673
C1720771	HP_0000034
C4025896	HP_0000036
C0238395	HP_0000037
C0563449	HP_0000039
C0269011	HP_0000040
C0221182	HP_0000041
C1848869	HP_0000042
C0271623	HP_0008213
C0271623	HP_0000044
C3489396	HP_0000044
C4025895	HP_0000045
C0431659	HP_0030276
C0431659	HP_0000046
C0341787	HP_0000048
C1858539	HP_0000049
C1852534	HP_0000050
C0452148	HP_0000051
C1263023	HP_0000053
C4551492	HP_0000054
C4021822	HP_0000055
C4025893	HP_0000056
C4025892	HP_0000058
C0566899	HP_0000059
C1844527	HP_0000060
C4025891	HP_0000061
C0266362	HP_0000062
C1837532	HP_0000063
C1849295	HP_0000064
C0404531	HP_0000065
C1850325	HP_0000066
C1610065	HP_0000068
C1840382	HP_0000069
C0041960	HP_0000070
C0521618	HP_0000071
C0521620	HP_0000072
C0221365	HP_0000073
C0221365	HP_0012572
C0521619	HP_0000074
C0266298	HP_0000075
C0042580	HP_0000076
C0266292	HP_0012210
C0266292	HP_0000077
C0744356	HP_0000078
C4021821	HP_0000079
C4021820	HP_0000080
C1858565	HP_0000081
C0035078	HP_0000083
C1565489	HP_0000083
C0221353	HP_0000085
C0266305	HP_0000085
C0238207	HP_0000086
C0266295	HP_0000089
C0687120	HP_0008659
C0687120	HP_0000090
C1858395	HP_0000092
C0033687	HP_0000093
C0178664	HP_0000096
C0017668	HP_0000097
C0241240	HP_0000098
C0017658	HP_0000099
C0027726	HP_0000100
C0032617	HP_0000103
C0542519	HP_0000104
C0542518	HP_0000105
C3887499	HP_0000107
C0022679	HP_0000107
C1968619	HP_0000108
C3536714	HP_0000110
C1619700	HP_0000110
C1866496	HP_0000111
C1408258	HP_0000112
C0022658	HP_0000077
C0022658	HP_0000112
C1567435	HP_0000113
C0022680	HP_0000113
C1839603	HP_0000114
