DATAFLOW,LAST UPDATE,freq,unit,itm_newa,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,1995,119.97,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,1996,114.26,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,1997,113.69,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,1998,110.12,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,1999,108.12,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2000,106.83,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2001,107.31,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2002,106.79,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2003,104.11,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2004,102.70,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2005,100.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2006,97.09,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2007,94.29,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2008,92.68,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2009,90.03,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2010,88.38,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2011,82.28,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2012,83.32,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2013,82.69,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2014,81.18,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2015,81.58,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2016,79.05,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2017,78.96,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2018,79.50,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2019,79.40,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2020,80.09,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BE,2021,81.09,e
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2000,123.05,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2001,118.07,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2002,126.37,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2003,126.37,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2004,113.73,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2005,100.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2006,89.96,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2007,78.93,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2008,74.25,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2009,69.57,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2010,64.89,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2011,59.99,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2012,55.46,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2013,51.28,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2014,47.32,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2015,43.79,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2016,40.53,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2017,37.74,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2018,35.15,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2019,30.40,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2020,28.66,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,BG,2021,26.50,e
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1985,148.57,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1986,146.80,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1987,144.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1988,142.23,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1989,141.09,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1990,140.84,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1991,143.13,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1992,139.94,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1993,136.37,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1994,130.16,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1995,126.74,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1996,128.89,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1997,122.79,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1998,119.87,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,1999,118.83,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2000,113.76,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2001,111.86,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2002,107.29,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2003,104.94,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2004,103.41,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2005,100.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2006,99.45,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2007,96.95,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2008,95.76,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2009,91.10,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2010,90.44,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2011,89.48,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2012,88.61,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2013,87.07,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2014,86.74,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2015,86.08,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2016,85.17,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2017,84.08,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2018,84.68,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2019,83.20,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2020,81.87,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CH,2021,81.24,e
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,1999,85.02,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2000,107.04,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2001,105.23,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2002,103.41,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2003,106.69,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2004,105.92,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2005,100.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2006,95.12,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2007,90.24,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2008,78.17,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2009,78.53,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2010,70.61,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2011,70.33,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2012,69.34,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2013,64.28,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2014,60.54,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2015,59.66,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2016,63.62,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2017,61.30,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2018,56.83,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2019,58.63,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2020,57.35,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CY,2021,57.47,e
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,1998,138.48,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,1999,127.11,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2000,119.48,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2001,117.69,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2002,115.93,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2003,108.08,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2004,104.04,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2005,100.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2006,95.61,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2007,91.22,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2008,86.66,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2009,82.33,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2010,78.15,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2011,76.27,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2012,75.99,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2013,75.48,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2014,75.34,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2015,75.27,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2016,75.04,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2017,75.12,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2018,74.94,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2019,73.27,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2020,68.50,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,CZ,2021,68.50,e
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1991,195.30,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1992,164.23,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1993,152.97,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1994,143.15,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1995,135.95,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1996,130.81,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1997,127.01,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1998,124.85,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,1999,122.68,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2000,117.52,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2001,113.10,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2002,108.56,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2003,104.75,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2004,101.61,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2005,100.00,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2006,97.49,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2007,95.13,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2008,93.22,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2009,91.35,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2010,89.60,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2011,88.83,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2012,88.16,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2013,86.34,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2014,86.51,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2015,85.14,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2016,82.39,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2017,81.98,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2018,81.36,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2019,80.84,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2020,80.50,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DE,2021,79.81,e
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1973,314.16,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1974,292.45,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1975,279.11,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1976,270.29,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1977,259.65,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1978,249.62,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1979,239.61,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1980,228.30,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1981,217.97,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1982,205.25,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1983,203.02,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1984,197.62,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1985,190.46,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1986,183.62,
ESTAT:AACT_ALI02(1.0),16/12/24 11:00:00,A,I05,40000,DK,1987,176.63,
