DATAFLOW,LAST UPDATE,freq,itm_newa,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2003,103.84,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2004,109.25,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2005,100.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2006,123.51,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2007,133.36,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2008,107.78,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2009,103.79,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2010,135.58,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2011,122.26,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2012,146.37,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2013,119.79,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BE,2014,114.35,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2000,105.06,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2001,117.72,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2002,95.26,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2003,89.17,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2004,96.36,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2005,100.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2006,97.07,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2007,97.21,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2008,157.12,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2009,110.17,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2010,122.66,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2011,141.80,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2012,163.49,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2013,198.66,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,BG,2014,212.73,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1985,105.94,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1986,104.45,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1987,108.97,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1988,117.61,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1989,125.83,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1990,118.20,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1991,110.55,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1992,104.26,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1993,102.90,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1994,103.72,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1995,96.89,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1996,90.89,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1997,101.24,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1998,100.92,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,1999,100.91,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2000,100.95,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2001,95.36,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2002,103.52,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2003,93.54,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2004,108.54,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2005,100.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2006,98.16,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2007,106.08,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2008,108.59,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2009,106.75,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2010,103.73,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2011,109.78,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2012,108.81,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2013,114.96,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CH,2014,126.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,1999,125.75,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2000,95.93,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2001,106.47,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2002,108.42,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2003,99.38,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2004,97.31,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2005,100.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2006,90.11,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2007,90.14,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2008,99.31,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2009,103.48,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2010,115.38,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2011,117.66,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2012,120.61,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2013,130.53,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CY,2014,125.51,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,1998,58.84,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,1999,50.03,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2000,59.99,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2001,74.90,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2002,59.47,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2003,61.32,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2004,96.85,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2005,100.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2006,104.96,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2007,118.50,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2008,128.67,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2009,104.97,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2010,123.78,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2011,166.83,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2012,165.44,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2013,167.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,CZ,2014,192.27,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1991,61.84,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1992,64.70,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1993,65.06,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1994,68.39,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1995,77.02,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1996,86.77,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1997,85.04,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1998,75.11,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DE,1999,73.76,
