DATAFLOW,LAST UPDATE,freq,itm_newa,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,1996,80.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,1997,79.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,1998,77.10,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,1999,75.70,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2000,74.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2001,75.14,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2002,74.77,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2003,72.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2004,71.91,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2005,70.02,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2006,67.98,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2007,66.02,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2008,64.89,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2009,63.04,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2010,61.88,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2011,57.61,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2012,58.34,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2013,57.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2014,56.84,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2015,57.12,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2016,55.35,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2017,54.28,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2018,54.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2019,53.35,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2020,52.21,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2021,52.31,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2022,51.57,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2023,51.31,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BE,2024,51.31,e
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2000,770.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2001,739.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2002,791.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2003,791.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2004,712.40,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2005,626.40,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2006,563.50,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2007,494.40,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,BG,2008,465.10,
